Date,Customer_ID,,Quantity,Sales_Amount
2/1/2016,6523,,1,1.77
2/1/2016,6523,,1,2.11
2/1/2016,4803,,1,4.5
2/1/2016,4803,,1,7.44
2/1/2016,2826,,1,4.84
2/1/2016,2826,,1,6.07
2/1/2016,4332,,1,10.12
2/1/2016,3131,,1,3.34
2/1/2016,7141,,1,2.43
2/1/2016,5948,,1,10.56
2/1/2016,2826,,1,6.07
2/1/2016,6848,,1,8.25
2/1/2016,6848,,1,1.71
2/1/2016,6848,,1,7.81
2/1/2016,1585,,1,4.5
2/1/2016,1585,,1,5.12
2/1/2016,1585,,1,9.4
2/1/2016,1585,,1,4.23
2/1/2016,1585,,1,6.75
2/1/2016,1585,,1,7.57
2/1/2016,1585,,1,10.02
2/1/2016,1585,,1,4.71
2/1/2016,1908,,1,5.46
2/1/2016,1908,,1,4.37
2/1/2016,1908,,1,5.8
2/1/2016,1908,,1,3.12
2/1/2016,195,,1,6.35
2/1/2016,195,,1,6.75
2/1/2016,5204,,1,8.32
2/1/2016,5204,,1,4.43
2/1/2016,2826,,1,8.32
2/1/2016,2826,,1,12.5
2/1/2016,2530,,1,1.58
2/1/2016,7355,,1,5.64
2/1/2016,3764,,1,3.9
2/1/2016,3764,,1,2.06
2/1/2016,7443,,1,25.62
2/1/2016,4839,,1,6.75
2/1/2016,4839,,1,3.34
2/1/2016,3011,,1,5.73
2/1/2016,3011,,1,1.42
2/1/2016,3011,,1,10.57
2/1/2016,3011,,1,6.75
2/1/2016,1659,,1,10.25
2/1/2016,1659,,1,25.16
2/1/2016,8288,,1,1.68
2/1/2016,5170,,1,6.27
2/1/2016,4817,,1,20.75
2/1/2016,7126,,1,11.46
2/1/2016,1577,,1,10.5
2/1/2016,3592,,1,1.68
2/1/2016,2617,,1,1.42
2/1/2016,2617,,1,3
2/1/2016,2617,,1,4.81
2/1/2016,1614,,1,5.32
2/1/2016,8814,,1,4.5
2/1/2016,6901,,1,5.79
2/1/2016,6901,,1,5.73
2/1/2016,454,,1,6.07
2/1/2016,3610,,1,11.94
2/1/2016,5293,,1,7.02
2/1/2016,5219,,1,4.06
2/1/2016,2285,,1,7.23
2/1/2016,2285,,1,2.66
2/1/2016,6874,,1,8.52
2/1/2016,6045,,1,1.97
2/1/2016,343,,1,6.75
2/1/2016,8635,,1,11.94
2/1/2016,399,,1,4.81
2/1/2016,399,,1,5.62
2/1/2016,5541,,1,5.73
2/1/2016,5541,,1,15.88
2/1/2016,1891,,1,5.73
2/1/2016,1891,,1,4.09
2/1/2016,5778,,1,8.69
2/1/2016,3156,,1,8.87
2/1/2016,3180,,1,9.21
2/1/2016,3180,,1,9.21
3/1/2016,131,,1,16.8
3/1/2016,3530,,1,5.73
3/1/2016,3530,,1,10.5
3/1/2016,692,,1,8.38
3/1/2016,692,,1,3.54
3/1/2016,692,,1,8.32
3/1/2016,3376,,1,5.87
3/1/2016,2223,,1,14.6
3/1/2016,6806,,1,5.25
3/1/2016,6806,,2,4.23
3/1/2016,6806,,1,3.62
3/1/2016,4993,,1,6.5
3/1/2016,6854,,1,12.33
3/1/2016,6854,,1,3.65
3/1/2016,6854,,1,13.18
3/1/2016,4775,,1,8.37
3/1/2016,4775,,1,6.07
3/1/2016,6727,,1,4.5
3/1/2016,191,,1,4.38
3/1/2016,2422,,1,6.21
3/1/2016,2422,,1,8.87
3/1/2016,2422,,1,1.68
3/1/2016,2422,,1,4.19
3/1/2016,8553,,1,10.98
3/1/2016,8553,,1,10.9
3/1/2016,8553,,1,7.5
3/1/2016,8553,,1,2.37
3/1/2016,6504,,1,6.35
3/1/2016,6504,,1,10.23
3/1/2016,8907,,1,2.68
3/1/2016,1284,,1,3.41
3/1/2016,1284,,1,8.43
3/1/2016,3724,,1,11.46
3/1/2016,1762,,1,8.46
3/1/2016,1762,,1,3.62
3/1/2016,5034,,1,5.46
3/1/2016,9251,,2,15.96
3/1/2016,9251,,2,11.46
3/1/2016,9251,,1,7.71
3/1/2016,3837,,1,6.35
3/1/2016,3837,,1,2
3/1/2016,6701,,1,20.37
3/1/2016,6701,,1,8.56
3/1/2016,2257,,1,4.91
3/1/2016,1128,,1,5.25
3/1/2016,8417,,1,11.25
3/1/2016,1894,,1,10.56
3/1/2016,8308,,1,5.18
3/1/2016,8308,,1,2.11
3/1/2016,3695,,1,9.5
3/1/2016,3848,,1,9.4
3/1/2016,7077,,1,5.66
3/1/2016,7077,,1,2.11
3/1/2016,7077,,2,11.18
3/1/2016,6422,,1,5.56
3/1/2016,4046,,1,2.73
3/1/2016,4046,,1,1.38
3/1/2016,4046,,1,2.06
3/1/2016,3827,,2,3.27
3/1/2016,3827,,2,0.96
3/1/2016,3913,,1,5.73
3/1/2016,3226,,1,3.12
3/1/2016,3226,,1,3.12
