Business Name,City,State,ZIP,ZIP 4,Key Executive,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,NAICS,NAICS Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Business Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,Franchise Type
Publix Super Market,West Palm Beach,FL,33409,2900,Manager,Female,200,"190,000","$40,087,080 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.7199647,-80.1128489,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Pompano Beach,FL,33063,4236,Office Manager,Female,200,"190,000","$40,087,080 ",Broward,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.2329952,-80.2240928,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Pompano Beach,FL,33067,2602,,,200,"190,000","$40,087,080 ",Broward,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.33007652,-80.25116283,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,2011,97,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Pompano Beach,FL,33067,2041,Manager,Male,200,"190,000","$40,087,080 ",Broward,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.28655287,-80.23500429,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Pompano Beach,FL,33067,3176,Manager,Female,200,"190,000","$40,087,080 ",Broward,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.27366162,-80.21030077,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33177,1145,General Manager,Male,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.62642281,-80.41589235,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33177,5119,Manager,Male,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.5789816,-80.396694,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Delray Beach,FL,33446,5902,Manager,Male,200,"190,000","$40,087,080 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.4712362,-80.1455512,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Delray Beach,FL,33446,2319,Manager,Male,200,"190,000","$40,087,080 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.437992,-80.144972,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,0,0,0,0,200,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33161,4714,General Manager,Male,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.8935113,-80.1855866,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33189,1833,Manager,Male,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.576868,-80.33724,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,West Palm Beach,FL,33409,1901,,,200,"190,000","$40,087,080 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.7135826,-80.1020786,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,2011,97,40087080,0,0,0,0,200,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33189,2215,Manager,Female,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.5733057,-80.3736906,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Miami,FL,33183,4805,Manager,Female,200,"190,000","$40,087,080 ",Miami-Dade,"250,000 to 499,999",Miami-Fort Lauderdale-Pompano ,25.691077,-80.387762,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40087080,40087080,40087080,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Boynton Beach,FL,33426,4209,Manager,Male,200,"190,000","$40,087,080 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.526277,-80.091824,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,88,40087080,20988000,0,91,0,200,200,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Deland,FL,32724,2339,Manager,Male,220,"190,000","$40,040,858 ",Volusia,"25,000 to 49,999",Deltona-Daytona Beach-Ormond B,29.056621,-81.300536,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,40040858,40040858,40040858,0,0,220,220,220,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Braselton,GA,30517,3402,Manager,Male,220,"190,000","$39,902,192 ",Barrow,"Up to 24,999","Jefferson, GA",34.1027253,-83.8125645,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,39902192,39902192,39902192,0,0,220,220,220,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Price Chopper,Latham,NY,12110,2173,General Manager,Male,400,"2,300","$39,596,000 ",Albany,"Up to 24,999","Albany-Schenectady-Troy, NY",42.75454045,-73.75852586,Restaurants,Branch,,No,5812001,Restaurants,722511,Full-Service Restaurants,No,100 to 499,Private,No,"50,000 or more",www.pricechopper.com,No,,100,39596000,75628360,2836064,-47.64,1296.16,400,400,15,0,2566.67,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Pet Factory Inc,Mundelein,IL,60060,3100,President,Male,200,,"$39,502,680 ",Lake,"25,000 to 49,999","Chicago-Naperville-Elgin, IL-I",42.25906,-87.990742,Pet Food & Supply Stores,,,Yes,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.petfactory.com,No,1989,100,39502680,0,0,0,0,200,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",
H-E-B Foods,Portland,TX,78374,2816,Executive Officer,Male,222,"45,000","$39,306,654 ",San Patricio,"Up to 24,999","Corpus Christi, TX",27.8870853,-97.317179,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,,100,39306654,39306654,39306654,0,0,222,222,222,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Hy-Vee,Galesburg,IL,61401,5435,,,250,"85,000","$38,792,100 ",Knox,"25,000 to 49,999","Galesburg, IL",40.9468,-90.338403,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.hy-vee.com,No,,97,38792100,0,0,0,0,250,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
H-E-B Foods,Houston,TX,77098,2807,General Manager,Unknown,200,"45,000","$38,429,200 ",Harris,"500,000 or more",Houston-The Woodlands-Sugar La,29.737516,-95.402793,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.heb.com,No,2013,97,38429200,7685840,7685840,400,400,200,40,40,400,400,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Saint Petersburg,FL,33702,4107,Manager,Male,200,"190,000","$38,009,000 ",Pinellas,"100,000 to 249,999",Tampa-St. Petersburg-Clearwate,27.84584571,-82.64676491,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Clearwater,FL,33759,2594,Manager,Female,200,"190,000","$38,009,000 ",Pinellas,"100,000 to 249,999",Tampa-St. Petersburg-Clearwate,27.980665,-82.710659,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Seminole,FL,33777,1161,Manager,Female,200,"190,000","$38,009,000 ",Pinellas,"Up to 24,999",Tampa-St. Petersburg-Clearwate,27.870318,-82.762164,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Tampa,FL,33618,4409,Office Manager,Male,200,"190,000","$38,009,000 ",Hillsborough,"250,000 to 499,999",Tampa-St. Petersburg-Clearwate,28.0411797,-82.5037622,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Zephyrhills,FL,33541,4302,Manager,Male,200,"190,000","$38,009,000 ",Pasco,"Up to 24,999",Tampa-St. Petersburg-Clearwate,28.271393,-82.1859939,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,2011,97,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Tampa,FL,33618,1818,Manager,Female,200,"190,000","$38,009,000 ",Hillsborough,"250,000 to 499,999",Tampa-St. Petersburg-Clearwate,28.0873191,-82.5027306,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Tampa,FL,33618,2406,Manager,Male,200,"190,000","$38,009,000 ",Hillsborough,"250,000 to 499,999",Tampa-St. Petersburg-Clearwate,28.0669422,-82.5068094,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,94,38009000,38009000,38009000,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Sarasota,FL,34231,8406,General Manager,Male,200,"190,000","$37,737,780 ",Sarasota,"50,000 to 99,999","North Port-Sarasota-Bradenton,",27.268543,-82.501223,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,97,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Sarasota,FL,34231,4827,Executive Officer,Male,200,"190,000","$37,737,780 ",Sarasota,"50,000 to 99,999","North Port-Sarasota-Bradenton,",27.2596188,-82.5197566,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Sarasota,FL,34233,3226,Manager,Male,200,"190,000","$37,737,780 ",Sarasota,"50,000 to 99,999","North Port-Sarasota-Bradenton,",27.2661528,-82.4678257,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Sarasota,FL,34233,5051,Manager,Female,200,"190,000","$37,737,780 ",Sarasota,"50,000 to 99,999","North Port-Sarasota-Bradenton,",27.297551,-82.454129,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Venice,FL,34293,5111,Manager,Female,200,"190,000","$37,737,780 ",Sarasota,"Up to 24,999","North Port-Sarasota-Bradenton,",27.0512766,-82.3955245,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Sarasota,FL,34233,1001,General Manager,Unknown,200,"190,000","$37,737,780 ",Sarasota,"50,000 to 99,999","North Port-Sarasota-Bradenton,",27.297801,-82.4966171,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,2013,97,37737780,37737780,37737780,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Orlando,FL,32822,4062,Manager,Male,200,"190,000","$37,378,700 ",Orange,"100,000 to 249,999","Orlando-Kissimmee-Sanford, FL",28.503421,-81.311672,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,37378700,0,0,0,0,200,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Phillips Feed S & Pet Supply,Easton,PA,18045,2350,Owner,Unknown,198,,"$36,828,000 ",Northampton,"25,000 to 49,999","Allentown-Bethlehem-Easton, PA",40.6952537,-75.2789073,Pet Food & Supply Stores,,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.phillipspet.com,No,1938,100,36828000,36828000,36828000,0,0,198,198,198,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",
Publix Super Market,Jacksonville,FL,32256,4570,Manager,Male,200,"190,000","$36,649,080 ",Duval,"500,000 or more","Jacksonville, FL",30.214309,-81.518324,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36649080,36649080,732982,0,4900,200,200,4,0,4900,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Charleston,SC,29407,5031,Manager,Male,200,"190,000","$36,607,060 ",Charleston,"100,000 to 249,999","Charleston-North Charleston, S",32.81373,-79.996748,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36607060,36607060,36607060,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Port Saint Lucie,FL,34953,3489,Manager,Female,200,"190,000","$36,526,840 ",Saint Lucie,"100,000 to 249,999","Port St. Lucie, FL",27.2479419,-80.3761266,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,97,36526840,36526840,36526840,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Gainesville,FL,32601,2346,Manager,Male,200,"190,000","$36,484,820 ",Alachua,"100,000 to 249,999","Gainesville, FL",29.663971,-82.325788,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36484820,36484820,36484820,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Gainesville,FL,32605,3595,Manager,Male,200,"190,000","$36,484,820 ",Alachua,"100,000 to 249,999","Gainesville, FL",29.671888,-82.387412,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,97,36484820,36484820,36484820,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Higginbotham Brothers & Co LLC,Comanche,TX,76442,,Chief Executive Officer,Male,270,303,"$36,468,474 ",Comanche,"Up to 24,999",,31.89727248,-98.60507928,Hardware Stores,Headquarters,,No,5251001,Hardware Stores,444130,Hardware Stores,No,100 to 499,Private,No,"50,000 or more",www.higginbothams.com,No,1881,100,36468474,36468474,142056828,0,-74.33,270,303,270,-10.89,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",
Super Target,Algonquin,IL,60102,5915,Manager,Male,200,"345,000","$36,316,980 ",Mchenry,"25,000 to 49,999","Chicago-Naperville-Elgin, IL-I",42.1638225,-88.33573412,Department Stores,Branch,,No,5311001,Department Stores,452210,Department Stores,No,100 to 499,Public,Yes,"50,000 or more",www.target.com,No,,100,36316980,36316980,7263396,0,400,200,200,40,0,400,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Marietta,GA,30062,4744,,,200,"190,000","$36,274,720 ",Cobb,"50,000 to 99,999",Atlanta-Sandy Springs-Alpharet,33.9764699,-84.4786506,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36274720,36274720,36274720,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Marietta,GA,30066,3344,Manager,Female,200,"190,000","$36,274,720 ",Cobb,"50,000 to 99,999",Atlanta-Sandy Springs-Alpharet,34.0146299,-84.55204,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36274720,36274720,36274720,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
Publix Super Market,Conyers,GA,30094,3349,Manager,Male,200,"190,000","$36,274,720 ",Rockdale,"Up to 24,999",Atlanta-Sandy Springs-Alpharet,33.617418,-84.081561,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.publix.com,No,,100,36274720,36274720,36274720,0,0,200,200,200,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",Chain Location
