Business Name,City,State,ZIP,ZIP 4,Key Executive,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,NAICS,NAICS Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Business Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,2017 Employees,2016 Employees,2015 Employees,2016 % Employee Growth,2015 % Employee Growth,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,Franchise Type
PetMed Express Inc,Delray Beach,FL,33445,4693,Chief Executive Officer,Male,178,,"$249,176,000 ",Palm Beach,"50,000 to 99,999",Miami-Fort Lauderdale-Pompano ,26.452722,-80.095713,Animal Specialty Services (Except Veterinary),,,No,752001,Animal Specialty Services (Except Veterinary),115210,Support Activities for Animal Production,No,25 to 99,Public,No,"10,000 to 49,999",www.1800petmeds.com,No,1996,100,249176000,234684000,234684000,6.18,6.18,178,178,178,0,0,"$100,000 or more","$25,000 to $99,999","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Nestles Purina Petcare Co,Denver,CO,80216,3907,President,Male,332,"7,150","$186,796,613 ",Denver,"500,000 or more","Denver-Aurora-Lakewood, CO",39.77901889,-104.9595884,Importers & Exporters,Branch,,Yes,5099050,Importers & Exporters,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,No,100 to 499,Private,No,"50,000 or more",www.purina.com,No,1894,100,186796613,186796613,167353099,0,11.62,332,332,332,0,0,"$100,000 or more","$25,000 to $99,999","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Safeway Distribution Center,Denver,CO,80216,4409,Executive Officer,Male,880,"27,647","$175,778,064 ",Denver,"500,000 or more","Denver-Aurora-Lakewood, CO",39.77891,-104.9312,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,500 or more,Private,No,"50,000 or more",www.safeway.com,No,,99,175778064,175778064,175778064,0,0,880,880,880,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Freshpet Inc,Secaucus,NJ,7094,3605,Chief Executive Officer,Male,53,260,"$156,379,210 ",Hudson,"Up to 24,999","New York-Newark-Jersey City, N",40.787049,-74.043889,Pet Food & Supply Stores,Headquarters,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Public,No,"50,000 or more",www.freshpet.com,No,2004,100,156379210,133053517,116186372,17.53,34.59,53,190,190,-72.11,-72.11,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more",
Cosentino's Price Chopper,Kansas City,MO,64114,4510,Executive Officer,Male,15,"1,635","$152,512,800 ",Jackson,"250,000 to 499,999","Kansas City, MO-KS",38.943802,-94.605382,Restaurants,Subsidiary,,No,5812001,Restaurants,722511,Full-Service Restaurants,No,500 or more,Private,Yes,"50,000 or more",www.mypricechopper.com,No,,99,152512800,0,0,0,0,15,15,15,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Mars Pet Care,Franklin,TN,37067,1632,Executive Officer,Male,800,"2,392","$138,964,320 ",Williamson,"50,000 to 99,999",Nashville-Davidson--Murfreesbo,35.9431554,-86.8310317,Pet Food & Supply Stores,Branch,,Yes,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.nutro.com,No,,100,138964320,138964320,147195715,0,-5.59,800,800,327,0,144.65,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Petland Discounts,Brentwood,NY,11717,1034,President,Male,615,,"$135,243,297 ",Suffolk,"50,000 to 99,999","New York-Newark-Jersey City, N",40.788247,-73.26914,Pet Food & Supply Stores,Branch,,No,5999005,Pet Food & Supply Stores,453910,Pet and Pet Supplies Stores,No,100 to 499,Private,No,"50,000 or more",www.petlanddiscounts.com,No,1965,100,135243297,135243297,287937342,0,-53.03,615,615,615,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
Giant Eagle,Bethel Park,PA,15102,1836,General Manager,Female,693,"36,000","$124,209,439 ",Allegheny,"25,000 to 49,999","Pittsburgh, PA",40.3468144,-80.0472546,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,No,,100,124209439,124209439,0,0,0,693,693,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
Giant Eagle,Cleveland,OH,44104,3827,,,700,"36,000","$118,016,990 ",Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4823648,-81.6044731,Grocery Stores,Branch,,No,5411001,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,No,100 to 499,Private,No,"50,000 or more",www.gianteagle.com,No,1931,100,118016990,0,0,0,0,700,,,0,0,"$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",True Franchise
Central Pet,Tampa,FL,33617,2007,Manager,Female,218,"5,000","$116,697,580 ",Hillsborough,"250,000 to 499,999",Tampa-St. Petersburg-Clearwate,28.050378,-82.411475,Importers & Exporters,Branch,,Yes,5099050,Importers & Exporters,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,No,100 to 499,Public,No,"50,000 or more",www.centralpet.com,No,2011,100,116697580,116697580,85896360,0,35.86,218,218,218,0,0,"$100,000 or more","$25,000 to $99,999","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more",
